         153743225 function calls (142943504 primitive calls) in 105.049 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    9.326    9.326  105.050  105.050 /Users/h.t/program/Ramsey/book_c1toc6_multi.py:73(calculate_A)
18177741/7552171   18.218    0.000   65.493    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  3145728    1.986    0.000   31.005    0.000 <__array_function__ internals>:177(hstack)
  2236962    1.412    0.000   30.795    0.000 <__array_function__ internals>:177(triu)
  2236962    4.077    0.000   28.025    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/twodim_base.py:497(triu)
  3145728    4.374    0.000   24.869    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:299(hstack)
  2236962    3.894    0.000   18.114    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/twodim_base.py:376(tri)
  1118481    3.676    0.000   15.270    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/scipy/linalg/_special_matrices.py:221(circulant)
  5312785    3.702    0.000   14.526    0.000 <__array_function__ internals>:177(concatenate)
  3145728    1.794    0.000   10.854    0.000 <__array_function__ internals>:177(atleast_1d)
  1048576    0.654    0.000    9.982    0.000 <__array_function__ internals>:177(vstack)
  1048576    1.318    0.000    8.003    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:223(vstack)
  1118481    4.977    0.000    7.918    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:38(as_strided)
  3145728    5.355    0.000    7.351    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:23(atleast_1d)
  2236962    5.836    0.000    5.836    0.000 {method 'outer' of 'numpy.ufunc' objects}
  4473924    3.108    0.000    5.516    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/twodim_base.py:33(_min_int)
  1169703    5.106    0.000    5.106    0.000 /Users/h.t/program/Ramsey/book_c1toc6_multi.py:9(set_indices)
  2236962    1.497    0.000    5.017    0.000 <__array_function__ internals>:177(where)
  1048576    0.610    0.000    3.745    0.000 <__array_function__ internals>:177(atleast_2d)
  4194304    1.489    0.000    3.450    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:218(_vhstack_dispatcher)
  1048576    1.884    0.000    2.536    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:81(atleast_2d)
  4473924    2.433    0.000    2.433    0.000 {built-in method numpy.arange}
  2236962    2.145    0.000    2.145    0.000 {built-in method numpy.asarray}
        2    0.000    0.000    1.997    0.999 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:388(_compile_for_args)
     45/2    0.001    0.000    1.983    0.992 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:915(compile)
     12/2    0.000    0.000    1.983    0.991 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:124(compile)
     12/2    0.000    0.000    1.983    0.991 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:131(_compile_cached)
     12/2    0.000    0.000    1.983    0.991 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:146(_compile_core)
     12/2    0.000    0.000    1.982    0.991 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:744(compile_extra)
