         3149049 function calls (2964535 primitive calls) in 1.539 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005    1.540    1.540 /Users/h.t/program/Ramsey/book_c1toc6_multi_cProfile.py:75(calculate_A)
        2    0.000    0.000    1.482    0.741 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:388(_compile_for_args)
     45/2    0.000    0.000    1.476    0.738 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:915(compile)
     12/2    0.000    0.000    1.476    0.738 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:124(compile)
     12/2    0.000    0.000    1.476    0.738 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:131(_compile_cached)
     12/2    0.000    0.000    1.476    0.738 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:146(_compile_core)
     12/2    0.000    0.000    1.476    0.738 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:744(compile_extra)
  756/300    0.001    0.000    1.202    0.004 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
     17/2    0.000    0.000    1.116    0.558 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:455(compile_extra)
     17/2    0.000    0.000    1.115    0.557 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:524(_compile_bytecode)
     17/2    0.000    0.000    1.115    0.557 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:478(_compile_core)
     17/2    0.001    0.000    1.114    0.557 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler_machinery.py:342(run)
   442/52    0.007    0.000    1.113    0.021 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler_machinery.py:268(_runPass)
 1326/156    0.001    0.000    1.095    0.007 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler_machinery.py:272(check)
    17/11    0.001    0.000    0.778    0.071 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/typed_passes.py:435(run_pass)
  345/293    0.004    0.000    0.577    0.002 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/types/functions.py:281(get_call_type)
  370/294    0.000    0.000    0.569    0.002 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/typing/context.py:189(resolve_function_type)
