         77533370 function calls (74112194 primitive calls) in 70.901 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    9.944    9.944   70.902   70.902 /Users/h.t/program/Ramsey/book_c1toc6_multi_cProfile.py:85(calculate_A)
9649323/6433690   11.898    0.000   30.244    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1118481    0.680    0.000   15.528    0.000 <__array_function__ internals>:177(triu)
  1118481    2.037    0.000   14.141    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/twodim_base.py:497(triu)
  1118481    3.445    0.000   14.104    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/scipy/linalg/_special_matrices.py:221(circulant)
  5312785    3.573    0.000   12.979    0.000 <__array_function__ internals>:177(concatenate)
  1048576    0.674    0.000   10.340    0.000 <__array_function__ internals>:177(vstack)
  1118481    1.925    0.000    9.242    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/twodim_base.py:376(tri)
  1048576    1.358    0.000    8.174    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:223(vstack)
  1238291    7.770    0.000    7.770    0.000 /Users/h.t/program/Ramsey/book_c1toc6_multi_cProfile.py:9(set_indices)
  1118481    4.530    0.000    7.249    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:38(as_strided)
  1048576    0.600    0.000    3.910    0.000 <__array_function__ internals>:177(atleast_2d)
  1118481    3.085    0.000    3.085    0.000 {method 'outer' of 'numpy.ufunc' objects}
  2236962    1.536    0.000    2.753    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/twodim_base.py:33(_min_int)
  1048576    2.048    0.000    2.753    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:81(atleast_2d)
  1118481    0.688    0.000    2.454    0.000 <__array_function__ internals>:177(where)
        3    0.000    0.000    2.222    0.741 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:388(_compile_for_args)
     56/3    0.001    0.000    2.208    0.736 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:915(compile)
     16/3    0.000    0.000    2.208    0.736 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:124(compile)
     16/3    0.000    0.000    2.208    0.736 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:131(_compile_cached)
     16/3    0.001    0.000    2.208    0.736 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:146(_compile_core)
     16/3    0.000    0.000    2.207    0.736 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:744(compile_extra)
  876/327    0.002    0.000    2.028    0.006 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
  2236962    2.021    0.000    2.021    0.000 {built-in method numpy.asarray}
     21/3    0.000    0.000    1.957    0.652 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:455(compile_extra)
     21/3    0.000    0.000    1.953    0.651 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:524(_compile_bytecode)
     21/3    0.000    0.000    1.953    0.651 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:478(_compile_core)
     21/3    0.002    0.000    1.951    0.650 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler_machinery.py:342(run)
