         241893959 function calls (199636958 primitive calls) in 143.796 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    9.311    9.311  143.797  143.797 /Users/h.t/program/Ramsey/book_c1toc6_multi.py:74(calculate_A)
11886285/7552171   11.871    0.000  105.131    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  3145728    1.481    0.000   68.154    0.000 <__array_function__ internals>:177(block)
  3145728    2.542    0.000   54.730    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:718(block)
  3145728    3.090    0.000   31.070    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:894(_block_setup)
  2236962    1.326    0.000   29.638    0.000 <__array_function__ internals>:177(triu)
12582912/3145728   17.098    0.000   27.011    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:492(_block_check_depths_match)
  2236962    3.892    0.000   26.940    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/twodim_base.py:497(triu)
  3145728    1.730    0.000   21.118    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:930(_block_concatenate)
12582912/3145728    5.807    0.000   19.388    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:688(_block)
  2236962    3.792    0.000   17.482    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/twodim_base.py:376(tri)
 12582912    5.236    0.000   16.130    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:537(<genexpr>)
  1118481    3.594    0.000   14.609    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/scipy/linalg/_special_matrices.py:221(circulant)
  3145728    3.919    0.000   11.188    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:698(<listcomp>)
  1048576    0.732    0.000   10.659    0.000 <__array_function__ internals>:177(vstack)
31457280/12582912    8.610    0.000    8.610    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:707(_block_dispatcher)
  1048576    1.435    0.000    8.415    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:223(vstack)
  1238291    8.000    0.000    8.000    0.000 /Users/h.t/program/Ramsey/book_c1toc6_multi.py:9(set_indices)
  1118481    4.694    0.000    7.495    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:38(as_strided)
3181934/3180750    0.818    0.000    6.499    0.000 {built-in method builtins.next}
  3145728    5.673    0.000    5.673    0.000 {built-in method numpy.core._multiarray_umath.concatenate}
  2236962    5.480    0.000    5.480    0.000 {method 'outer' of 'numpy.ufunc' objects}
  4473924    3.069    0.000    5.459    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/twodim_base.py:33(_min_int)
  2167057    1.523    0.000    5.222    0.000 <__array_function__ internals>:177(concatenate)
  2236962    1.418    0.000    4.744    0.000 <__array_function__ internals>:177(where)
  9437184    2.405    0.000    3.988    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:568(_atleast_nd)
  1048576    0.623    0.000    3.952    0.000 <__array_function__ internals>:177(atleast_2d)
  1048576    2.032    0.000    2.731    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:81(atleast_2d)
  4473924    2.317    0.000    2.317    0.000 {built-in method numpy.arange}
  2236962    2.050    0.000    2.050    0.000 {built-in method numpy.asarray}
        2    0.000    0.000    1.910    0.955 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:388(_compile_for_args)
     45/2    0.001    0.000    1.895    0.948 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:915(compile)
     12/2    0.000    0.000    1.895    0.947 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:124(compile)
     12/2    0.000    0.000    1.895    0.947 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:131(_compile_cached)
     12/2    0.000    0.000    1.894    0.947 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:146(_compile_core)
     12/2    0.000    0.000    1.894    0.947 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:744(compile_extra)
 10555683    1.797    0.000    1.797    0.000 {built-in method numpy.array}
  756/300    0.002    0.000    1.695    0.006 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
21119631/21117891    1.677    0.000    1.677    0.000 {built-in method builtins.len}
     17/2    0.000    0.000    1.673    0.837 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:455(compile_extra)
     17/2    0.000    0.000    1.670    0.835 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:524(_compile_bytecode)
     17/2    0.000    0.000    1.670    0.835 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:478(_compile_core)
     17/2    0.002    0.000    1.668    0.834 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler_machinery.py:342(run)
