         153755521 function calls (142955813 primitive calls) in 104.781 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    9.394    9.394  104.783  104.783 /Users/h.t/program/Ramsey/book_c1toc6_multi.py:73(calculate_A)
18177741/7552171   18.165    0.000   65.292    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  3145728    1.949    0.000   30.826    0.000 <__array_function__ internals>:177(hstack)
  2236962    1.365    0.000   30.759    0.000 <__array_function__ internals>:177(triu)
  2236962    4.072    0.000   27.985    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/twodim_base.py:497(triu)
  3145728    4.336    0.000   24.675    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:299(hstack)
  2236962    3.872    0.000   18.051    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/twodim_base.py:376(tri)
  1118481    3.678    0.000   15.062    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/scipy/linalg/_special_matrices.py:221(circulant)
  5312785    3.688    0.000   14.327    0.000 <__array_function__ internals>:177(concatenate)
  3145728    1.759    0.000   10.807    0.000 <__array_function__ internals>:177(atleast_1d)
  1048576    0.628    0.000    9.948    0.000 <__array_function__ internals>:177(vstack)
  1048576    1.343    0.000    7.987    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:223(vstack)
  1118481    4.858    0.000    7.763    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:38(as_strided)
  3145728    5.369    0.000    7.349    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:23(atleast_1d)
  2236962    5.767    0.000    5.767    0.000 {method 'outer' of 'numpy.ufunc' objects}
  4473924    3.091    0.000    5.555    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/twodim_base.py:33(_min_int)
  1182135    5.305    0.000    5.305    0.000 /Users/h.t/program/Ramsey/book_c1toc6_multi.py:9(set_indices)
  2236962    1.478    0.000    5.046    0.000 <__array_function__ internals>:177(where)
  1048576    0.588    0.000    3.722    0.000 <__array_function__ internals>:177(atleast_2d)
  4194304    1.505    0.000    3.483    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:218(_vhstack_dispatcher)
  1048576    1.907    0.000    2.543    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:81(atleast_2d)
  4473924    2.404    0.000    2.404    0.000 {built-in method numpy.arange}
  2236962    2.133    0.000    2.133    0.000 {built-in method numpy.asarray}
  4194304    1.244    0.000    1.978    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:207(_arrays_for_stack_dispatcher)
        2    0.000    0.000    1.889    0.945 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:388(_compile_for_args)
     45/2    0.001    0.000    1.875    0.938 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:915(compile)
     12/2    0.000    0.000    1.875    0.937 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:124(compile)
     12/2    0.000    0.000    1.875    0.937 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:131(_compile_cached)
     12/2    0.000    0.000    1.875    0.937 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:146(_compile_core)
