         153784353 function calls (142984664 primitive calls) in 106.415 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    9.306    9.306  106.416  106.416 /Users/h.t/program/Ramsey/book_c1toc6_multi.py:73(calculate_A)
18177741/7552171   18.162    0.000   65.419    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  3145728    1.952    0.000   30.918    0.000 <__array_function__ internals>:177(hstack)
  2236962    1.372    0.000   30.869    0.000 <__array_function__ internals>:177(triu)
  2236962    4.094    0.000   28.089    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/twodim_base.py:497(triu)
  3145728    4.293    0.000   24.752    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:299(hstack)
  2236962    3.864    0.000   18.180    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/twodim_base.py:376(tri)
  1118481    3.703    0.000   15.267    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/scipy/linalg/_special_matrices.py:221(circulant)
  5312785    3.623    0.000   14.308    0.000 <__array_function__ internals>:177(concatenate)
  3145728    1.783    0.000   10.942    0.000 <__array_function__ internals>:177(atleast_1d)
  1048576    0.629    0.000    9.852    0.000 <__array_function__ internals>:177(vstack)
  1118481    4.945    0.000    7.898    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:38(as_strided)
  1048576    1.298    0.000    7.881    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:223(vstack)
  3145728    5.457    0.000    7.472    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:23(atleast_1d)
  1211196    6.689    0.000    6.689    0.000 /Users/h.t/program/Ramsey/book_c1toc6_multi.py:9(set_indices)
  2236962    5.844    0.000    5.844    0.000 {method 'outer' of 'numpy.ufunc' objects}
