         46319817 function calls (43936863 primitive calls) in 41.211 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   10.023   10.023   41.213   41.213 /Users/h.t/program/Ramsey/book_c1toc6_multi_cProfile.py:97(calculate_A)
6294860/4197708    7.605    0.000   12.633    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  4194304    2.657    0.000    9.831    0.000 <__array_function__ internals>:177(concatenate)
  1048576    0.584    0.000    9.042    0.000 <__array_function__ internals>:177(vstack)
  1048576    1.191    0.000    7.215    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:223(vstack)
  1201169    6.895    0.000    6.895    0.000 /Users/h.t/program/Ramsey/book_c1toc6_multi_cProfile.py:9(set_indices)
  1048576    0.537    0.000    3.369    0.000 <__array_function__ internals>:177(atleast_2d)
        5    0.000    0.000    3.288    0.658 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:388(_compile_for_args)
     73/5    0.002    0.000    3.276    0.655 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:915(compile)
     22/5    0.000    0.000    3.276    0.655 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:124(compile)
     22/5    0.000    0.000    3.276    0.655 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:131(_compile_cached)
     22/5    0.001    0.000    3.276    0.655 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:146(_compile_core)
     22/5    0.000    0.000    3.275    0.655 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:744(compile_extra)
 1114/381    0.003    0.000    3.098    0.008 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
     29/5    0.000    0.000    3.049    0.610 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:455(compile_extra)
     29/5    0.000    0.000    3.047    0.609 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:524(_compile_bytecode)
     29/5    0.000    0.000    3.047    0.609 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:478(_compile_core)
     29/5    0.002    0.000    3.044    0.609 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler_machinery.py:342(run)
  754/130    0.020    0.000    3.040    0.023 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler_machinery.py:268(_runPass)
 2262/390    0.003    0.000    2.963    0.008 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler_machinery.py:272(check)
  1048576    1.729    0.000    2.338    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:81(atleast_2d)
  2236962    1.677    0.000    2.228    0.000 /Users/h.t/program/Ramsey/book_c1toc6_multi_cProfile.py:45(triu_numba)
    29/21    0.002    0.000    2.137    0.102 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/typed_passes.py:435(run_pass)
    29/11    0.001    0.000    1.466    0.133 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/typed_passes.py:103(run_pass)
    29/11    0.001    0.000    1.466    0.133 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/typed_passes.py:66(type_inference_stage)
