         15564147 function calls (15318940 primitive calls) in 26.986 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   10.949   10.949   26.989   26.989 C:\Users\H.T\Documents\research\Ramsey\book_c1toc6_multi_cProfile.py:102(calculate_A)
        6    0.000    0.000    4.667    0.778 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\dispatcher.py:388(_compile_for_args)
     62/6    0.001    0.000    4.648    0.775 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\dispatcher.py:915(compile)
  968/333    0.003    0.000    4.013    0.012 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
     17/3    0.000    0.000    3.984    1.328 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\dispatcher.py:124(compile)
     17/3    0.000    0.000    3.984    1.328 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\dispatcher.py:131(_compile_cached)
     17/3    0.001    0.000    3.984    1.328 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\dispatcher.py:146(_compile_core)
     17/3    0.000    0.000    3.983    1.328 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\compiler.py:744(compile_extra)
     24/3    0.000    0.000    3.980    1.327 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\compiler.py:455(compile_extra)
     24/3    0.000    0.000    3.976    1.325 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\compiler.py:524(_compile_bytecode)
     24/3    0.001    0.000    3.976    1.325 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\compiler.py:478(_compile_core)
     24/3    0.003    0.000    3.974    1.325 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\compiler_machinery.py:342(run)
   624/78    0.025    0.000    3.970    0.051 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\compiler_machinery.py:268(_runPass)
 1872/234    0.003    0.000    3.905    0.017 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\compiler_machinery.py:272(check)
  1107670    3.859    0.000    3.859    0.000 C:\Users\H.T\Documents\research\Ramsey\book_c1toc6_multi_cProfile.py:9(set_indices)
  2236962    2.534    0.000    3.323    0.000 C:\Users\H.T\Documents\research\Ramsey\book_c1toc6_multi_cProfile.py:45(triu_numba)
    24/16    0.002    0.000    2.683    0.168 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\typed_passes.py:435(run_pass)
     24/9    0.001    0.000    2.039    0.227 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\typed_passes.py:103(run_pass)
