         14618325 function calls (14352174 primitive calls) in 27.244 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   11.236   11.236   27.247   27.247 C:\Users\H.T\Documents\research\Ramsey\book_c1toc6_multi_cProfile.py:97(calculate_A)
        4    0.000    0.000    5.029    1.257 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\dispatcher.py:388(_compile_for_args)
     69/4    0.001    0.000    5.004    1.251 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\dispatcher.py:915(compile)
     20/4    0.000    0.000    5.003    1.251 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\dispatcher.py:124(compile)
     20/4    0.000    0.000    5.003    1.251 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\dispatcher.py:131(_compile_cached)
     20/4    0.001    0.000    5.003    1.251 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\dispatcher.py:146(_compile_core)
     20/4    0.000    0.000    5.002    1.251 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\compiler.py:744(compile_extra)
 1052/354    0.004    0.000    4.460    0.013 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
     27/4    0.000    0.000    4.437    1.109 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\compiler.py:455(compile_extra)
     27/4    0.000    0.000    4.431    1.108 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\compiler.py:524(_compile_bytecode)
     27/4    0.001    0.000    4.431    1.108 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\compiler.py:478(_compile_core)
     27/4    0.003    0.000    4.428    1.107 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\compiler_machinery.py:342(run)
  702/104    0.028    0.000    4.423    0.043 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\compiler_machinery.py:268(_runPass)
 2106/312    0.004    0.000    4.338    0.014 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\compiler_machinery.py:272(check)
  1107670    4.067    0.000    4.067    0.000 C:\Users\H.T\Documents\research\Ramsey\book_c1toc6_multi_cProfile.py:8(set_indices)
  2236962    2.558    0.000    3.350    0.000 C:\Users\H.T\Documents\research\Ramsey\book_c1toc6_multi_cProfile.py:44(triu_numba)
    27/19    0.003    0.000    3.029    0.159 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\typed_passes.py:435(run_pass)
    27/10    0.001    0.000    2.124    0.212 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\typed_passes.py:103(run_pass)
    27/10    0.001    0.000    2.124    0.212 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\typed_passes.py:66(type_inference_stage)
    27/10    0.000    0.000    2.063    0.206 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\typeinfer.py:1067(propagate)
    58/24    0.005    0.000    2.062    0.086 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\typeinfer.py:142(propagate)
  464/396    0.014    0.000    2.025    0.005 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\types\functions.py:281(get_call_type)
  507/417    0.001    0.000    1.998    0.005 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\typing\context.py:189(resolve_function_type)
  507/417    0.003    0.000    1.994    0.005 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\typing\context.py:233(_resolve_user_function_type)
2175/1996    0.005    0.000    1.930    0.001 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\typing\templates.py:349(apply)
    27/19    0.000    0.000    1.926    0.101 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\lowering.py:182(lower)
  460/396    0.005    0.000    1.925    0.005 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\typeinfer.py:580(resolve)
  456/392    0.001    0.000    1.906    0.005 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\typeinfer.py:1519(resolve_call)
  555/497    0.002    0.000    1.856    0.004 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\typing\templates.py:607(generic)
  555/497    0.003    0.000    1.844    0.004 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\typing\templates.py:698(_get_impl)
    52/42    0.001    0.000    1.793    0.043 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\typing\templates.py:749(_build_impl)
  1118481    1.392    0.000    1.793    0.000 C:\Users\H.T\Documents\research\Ramsey\book_c1toc6_multi_cProfile.py:55(circulant_numba)
    65/38    0.000    0.000    1.791    0.047 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\types\functions.py:534(get_call_type)
    65/38    0.001    0.000    1.789    0.047 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\dispatcher.py:348(get_call_template)
  1118481    1.324    0.000    1.772    0.000 C:\Users\H.T\Documents\research\Ramsey\book_c1toc6_multi_cProfile.py:37(integer_to_binary)
    27/19    0.000    0.000    1.648    0.087 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\lowering.py:233(lower_normal_function)
  4473924    1.641    0.000    1.641    0.000 C:\Users\H.T\anaconda3\envs\py311\Lib\site-packages\numba\core\serialize.py:30(_numba_unpickle)
