         57271582 function calls (54968906 primitive calls) in 59.123 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    53/32    0.000    0.000    0.913    0.029 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/types/functions.py:534(get_call_type)
    53/32    0.000    0.000    0.911    0.028 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:348(get_call_template)
     8323    0.773    0.000    0.892    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/llvmlite/binding/ffi.py:188(__call__)
    21/15    0.000    0.000    0.851    0.057 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/lowering.py:182(lower)
       22    0.001    0.000    0.769    0.035 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/codegen.py:739(finalize)
       21    0.000    0.000    0.747    0.036 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:413(__init__)
   330/84    0.001    0.000    0.745    0.009 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/base.py:261(refresh)
  149/121    0.001    0.000    0.717    0.006 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/typeinfer.py:570(__call__)
    21/15    0.000    0.000    0.702    0.047 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/lowering.py:233(lower_normal_function)
    21/15    0.001    0.000    0.693    0.046 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/lowering.py:250(lower_function_body)
      330    0.005    0.000    0.692    0.002 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/cpu.py:60(load_additional_registries)
    73/51    0.003    0.000    0.691    0.014 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/lowering.py:275(lower_block)
  906/654    0.005    0.000    0.685    0.001 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/lowering.py:457(lower_inst)
  1118481    0.681    0.000    0.681    0.000 {method 'copy' of 'numpy.ndarray' objects}
  1048576    0.364    0.000    0.648    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:207(_arrays_for_stack_dispatcher)
  5312785    0.628    0.000    0.628    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/multiarray.py:152(concatenate)
  391/285    0.001    0.000    0.605    0.002 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/lowering.py:665(lower_assign)
  192/142    0.001    0.000    0.593    0.004 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/lowering.py:1185(lower_expr)
       22    0.000    0.000    0.545    0.025 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/codegen.py:781(_finalize_final_module)
       22    0.000    0.000    0.505    0.023 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/codegen.py:996(_finalize_specific)
       41    0.000    0.000    0.486    0.012 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/codegen.py:1058(wrapper)
       22    0.000    0.000    0.486    0.022 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/llvmlite/binding/executionengine.py:87(finalize_object)
   117/73    0.000    0.000    0.450    0.006 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/codegen.py:565(_ensure_finalized)
       15    0.000    0.000    0.427    0.028 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/base.py:844(compile_subroutine)
        5    0.000    0.000    0.426    0.085 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/base.py:806(_compile_subroutine_no_cache)
       16    0.000    0.000    0.423    0.026 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/cpu.py:225(get_executable)
       16    0.000    0.000    0.421    0.026 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/codegen.py:975(get_pointer_to_function)
        5    0.000    0.000    0.397    0.079 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:837(compile_internal)
  3217124    0.367    0.000    0.367    0.000 {method 'append' of 'list' objects}
  1118481    0.354    0.000    0.354    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:25(_maybe_view_as_subclass)
       13    0.000    0.000    0.351    0.027 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/base.py:873(compile_internal)
  3145728    0.345    0.000    0.345    0.000 {built-in method numpy.asanyarray}
10058/9873    0.011    0.000    0.328    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
      330    0.000    0.000    0.328    0.001 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/runtime/nrt.py:19(initialize)
        1    0.000    0.000    0.327    0.327 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/runtime/nrtdynmod.py:205(compile_nrt_functions)
  229/205    0.001    0.000    0.315    0.002 <frozen importlib._bootstrap>:1167(_find_and_load)
  136/114    0.000    0.000    0.315    0.003 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/base.py:1186(__call__)
  136/114    0.000    0.000    0.314    0.003 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/base.py:1215(wrapper)
    66/42    0.000    0.000    0.314    0.007 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
   177/51    0.000    0.000    0.312    0.006 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    65/42    0.000    0.000    0.311    0.007 <frozen importlib._bootstrap>:666(_load_unlocked)
  1118481    0.311    0.000    0.311    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:20(__init__)
1077673/1077466    0.289    0.000    0.310    0.000 {built-in method builtins.hasattr}
    64/42    0.000    0.000    0.309    0.007 <frozen importlib._bootstrap_external>:934(exec_module)
  1118481    0.302    0.000    0.302    0.000 {method 'ravel' of 'numpy.ndarray' objects}
2254788/2252894    0.294    0.000    0.294    0.000 {built-in method builtins.len}
    45/33    0.000    0.000    0.292    0.009 {built-in method builtins.__import__}
    67/45    0.017    0.000    0.284    0.006 {built-in method builtins.exec}
