Result 1 B2:
Index, Spine, Page
9, (4, 7), (1, 8)
11, (4, 7), (1, 8)
12, (4, 5), (3, 8)
13, (4, 7), (1, 8)
14, (4, 5), (3, 8)
15, (4, 7), (1, 8)
18, (3, 6), (0, 8)
19, (3, 6), (0, 8)
20, (3, 5), (4, 8)
21, (3, 5), (4, 8)
22, (3, 6), (0, 8)
23, (3, 6), (0, 8)
24, (3, 4), (5, 8)
25, (4, 7), (1, 8)
26, (3, 6), (0, 8)
27, (3, 6), (0, 8)
28, (5, 8), (3, 4)
29, (4, 7), (1, 8)
30, (3, 6), (0, 8)
31, (3, 6), (0, 8)
41, (4, 7), (1, 8)
43, (4, 7), (1, 8)
44, (5, 8), (2, 4)
45, (4, 7), (1, 8)
46, (5, 8), (2, 4)
47, (4, 7), (1, 8)
50, (3, 6), (0, 8)
51, (3, 6), (0, 8)
52, (5, 8), (2, 3)
53, (5, 8), (2, 3)
54, (3, 6), (0, 8)
55, (3, 6), (0, 8)
56, (3, 4), (5, 8)
57, (4, 7), (1, 8)
58, (3, 6), (0, 8)
59, (3, 6), (0, 8)
60, (5, 8), (2, 3)
61, (4, 7), (1, 8)
62, (3, 6), (0, 8)
63, (3, 6), (0, 8)
65, (1, 7), (4, 8)
67, (7, 8), (1, 6)
69, (1, 7), (4, 8)
71, (7, 8), (1, 6)
72, (1, 4), (7, 8)
73, (7, 8), (1, 4)
74, (1, 4), (7, 8)
75, (7, 8), (1, 4)
76, (4, 8), (1, 5)
77, (7, 8), (1, 4)
78, (4, 8), (1, 5)
79, (7, 8), (1, 4)
81, (1, 7), (4, 8)
82, (3, 6), (0, 8)
83, (3, 6), (0, 8)
84, (3, 5), (4, 8)
85, (1, 7), (4, 8)
86, (3, 6), (0, 8)
87, (3, 6), (0, 8)
88, (4, 8), (1, 3)
89, (4, 8), (1, 3)
90, (3, 6), (0, 8)
91, (3, 6), (0, 8)
92, (4, 8), (1, 3)
93, (4, 8), (1, 3)
94, (3, 6), (0, 8)
95, (3, 6), (0, 8)
96, (1, 2), (0, 8)
97, (1, 2), (0, 8)
98, (1, 2), (0, 8)
99, (1, 2), (0, 8)
100, (1, 2), (0, 8)
101, (1, 2), (0, 8)
102, (1, 2), (0, 8)
103, (1, 2), (0, 8)
104, (1, 2), (0, 8)
105, (1, 2), (0, 8)
106, (1, 2), (0, 8)
107, (1, 2), (0, 8)
108, (1, 2), (0, 8)
109, (1, 2), (0, 8)
110, (1, 2), (0, 8)
111, (1, 2), (0, 8)
112, (1, 2), (0, 8)
113, (1, 2), (0, 8)
114, (1, 2), (0, 8)
115, (1, 2), (0, 8)
116, (1, 2), (0, 8)
117, (1, 2), (0, 8)
118, (1, 2), (0, 8)
119, (1, 2), (0, 8)
120, (1, 2), (0, 8)
121, (1, 2), (0, 8)
122, (1, 2), (0, 8)
123, (1, 2), (0, 8)
124, (1, 2), (0, 8)
125, (1, 2), (0, 8)
126, (1, 2), (0, 8)
127, (1, 2), (0, 8)
130, (0, 6), (3, 8)
131, (6, 8), (0, 7)
134, (0, 6), (3, 8)
135, (6, 8), (0, 7)
137, (4, 7), (1, 8)
138, (0, 6), (3, 8)
139, (6, 8), (0, 7)
140, (4, 5), (3, 8)
141, (4, 7), (1, 8)
142, (0, 6), (3, 8)
143, (6, 8), (0, 7)
144, (0, 3), (6, 8)
145, (0, 3), (6, 8)
146, (6, 8), (0, 3)
147, (6, 8), (0, 3)
148, (3, 8), (0, 5)
149, (3, 8), (0, 5)
150, (6, 8), (0, 3)
151, (6, 8), (0, 3)
152, (3, 8), (0, 4)
153, (3, 8), (0, 4)
154, (6, 8), (0, 3)
155, (6, 8), (0, 3)
156, (3, 8), (0, 4)
157, (3, 8), (0, 4)
158, (6, 8), (0, 3)
159, (6, 8), (0, 3)
160, (0, 2), (1, 8)
161, (0, 2), (1, 8)
162, (0, 2), (1, 8)
163, (6, 8), (0, 7)
164, (2, 8), (0, 5)
165, (2, 8), (0, 5)
166, (2, 8), (0, 5)
167, (2, 8), (0, 5)
168, (0, 2), (1, 8)
169, (0, 2), (1, 8)
170, (0, 2), (1, 8)
171, (6, 8), (0, 7)
172, (2, 8), (0, 5)
173, (2, 8), (0, 5)
174, (2, 8), (0, 5)
175, (2, 8), (0, 5)
176, (0, 2), (1, 8)
177, (0, 2), (1, 8)
178, (6, 8), (0, 3)
179, (6, 8), (0, 3)
180, (2, 8), (0, 5)
181, (2, 8), (0, 5)
182, (6, 8), (0, 3)
183, (6, 8), (0, 3)
184, (3, 8), (0, 4)
185, (3, 8), (0, 4)
186, (6, 8), (0, 3)
187, (6, 8), (0, 3)
188, (3, 8), (0, 4)
189, (3, 8), (0, 4)
190, (6, 8), (0, 3)
191, (6, 8), (0, 3)
192, (0, 1), (2, 8)
193, (1, 8), (0, 7)
194, (0, 8), (1, 6)
195, (1, 8), (0, 7)
196, (0, 1), (2, 8)
197, (1, 8), (0, 7)
198, (0, 8), (1, 6)
199, (1, 8), (0, 7)
200, (1, 8), (0, 4)
201, (1, 8), (0, 4)
202, (1, 8), (0, 4)
203, (1, 8), (0, 4)
204, (1, 8), (0, 4)
205, (1, 8), (0, 4)
206, (1, 8), (0, 4)
207, (1, 8), (0, 4)
208, (0, 8), (1, 3)
209, (1, 8), (0, 7)
210, (6, 8), (0, 3)
211, (6, 8), (0, 3)
212, (3, 8), (0, 5)
213, (3, 8), (0, 5)
214, (6, 8), (0, 3)
215, (6, 8), (0, 3)
216, (1, 8), (0, 4)
217, (1, 8), (0, 4)
218, (6, 8), (0, 3)
219, (6, 8), (0, 3)
220, (1, 8), (0, 4)
221, (1, 8), (0, 4)
222, (6, 8), (0, 3)
223, (6, 8), (0, 3)
224, (2, 8), (0, 1)
225, (2, 8), (0, 1)
226, (2, 8), (0, 1)
227, (2, 8), (0, 1)
228, (2, 8), (0, 1)
229, (2, 8), (0, 1)
230, (2, 8), (0, 1)
231, (2, 8), (0, 1)
232, (2, 8), (0, 1)
233, (2, 8), (0, 1)
234, (2, 8), (0, 1)
235, (2, 8), (0, 1)
236, (2, 8), (0, 1)
237, (2, 8), (0, 1)
238, (2, 8), (0, 1)
239, (2, 8), (0, 1)
240, (2, 8), (0, 1)
241, (2, 8), (0, 1)
242, (2, 8), (0, 1)
243, (2, 8), (0, 1)
244, (2, 8), (0, 1)
245, (2, 8), (0, 1)
246, (2, 8), (0, 1)
247, (2, 8), (0, 1)
248, (2, 8), (0, 1)
249, (2, 8), (0, 1)
250, (2, 8), (0, 1)
251, (2, 8), (0, 1)
252, (2, 8), (0, 1)
253, (2, 8), (0, 1)
254, (2, 8), (0, 1)
255, (2, 8), (0, 1)
True Count 1: 222

Result 2 B3:
Index, Spine, Page
0, (8, 9), (0, 1, 2)
1, (8, 9), (0, 1, 2)
2, (8, 9), (0, 1, 2)
3, (8, 9), (0, 1, 2)
4, (8, 9), (0, 1, 2)
5, (8, 9), (0, 1, 2)
6, (8, 9), (0, 1, 2)
7, (8, 9), (0, 1, 2)
8, (8, 9), (0, 1, 2)
9, (8, 9), (0, 1, 2)
10, (8, 9), (0, 1, 2)
11, (8, 9), (0, 1, 2)
12, (8, 9), (0, 1, 2)
13, (8, 9), (0, 1, 2)
14, (8, 9), (0, 1, 2)
15, (8, 9), (0, 1, 2)
16, (8, 9), (0, 1, 2)
17, (8, 9), (0, 1, 2)
18, (8, 9), (0, 1, 2)
19, (8, 9), (0, 1, 2)
20, (8, 9), (0, 1, 2)
21, (8, 9), (0, 1, 2)
22, (8, 9), (0, 1, 2)
23, (8, 9), (0, 1, 2)
24, (8, 9), (0, 1, 2)
25, (8, 9), (0, 1, 2)
26, (8, 9), (0, 1, 2)
27, (8, 9), (0, 1, 2)
28, (8, 9), (0, 1, 2)
29, (8, 9), (0, 1, 2)
30, (8, 9), (0, 1, 2)
31, (8, 9), (0, 1, 2)
32, (8, 9), (0, 1, 3)
33, (8, 9), (0, 1, 3)
34, (8, 9), (0, 1, 3)
35, (8, 9), (0, 1, 3)
36, (8, 9), (0, 1, 3)
37, (8, 9), (0, 1, 3)
38, (8, 9), (0, 1, 3)
39, (8, 9), (0, 1, 3)
40, (8, 9), (0, 1, 3)
41, (8, 9), (0, 1, 3)
42, (8, 9), (0, 1, 3)
43, (8, 9), (0, 1, 3)
44, (8, 9), (0, 1, 3)
45, (8, 9), (0, 1, 3)
46, (8, 9), (0, 1, 3)
47, (8, 9), (0, 1, 3)
48, (8, 9), (0, 1, 4)
49, (8, 9), (0, 1, 4)
50, (8, 9), (0, 1, 4)
51, (8, 9), (0, 1, 4)
52, (8, 9), (0, 1, 4)
53, (8, 9), (0, 1, 4)
54, (8, 9), (0, 1, 4)
55, (8, 9), (0, 1, 4)
56, (8, 9), (0, 1, 5)
57, (8, 9), (0, 1, 5)
58, (8, 9), (0, 1, 5)
59, (8, 9), (0, 1, 5)
60, (5, 9), (0, 1, 6)
61, (5, 9), (0, 1, 6)
62, (5, 9), (0, 1, 6)
63, (5, 9), (0, 1, 6)
64, (5, 9), (0, 1, 6)
65, (5, 9), (0, 1, 6)
66, (5, 9), (0, 1, 6)
67, (5, 9), (0, 1, 6)
68, (5, 9), (0, 1, 6)
69, (5, 9), (0, 1, 6)
70, (5, 9), (0, 1, 6)
