Result 1 B3:
Index, Spine, Page
12, (9, 10), (4, 6, 13)
13, (9, 10), (4, 6, 13)
14, (9, 10), (4, 6, 13)
15, (9, 10), (4, 6, 13)
28, (9, 10), (4, 6, 13)
29, (9, 10), (4, 6, 13)
30, (9, 10), (4, 6, 13)
31, (9, 10), (4, 6, 13)
40, (7, 9), (0, 4, 13)
41, (7, 9), (0, 4, 13)
42, (7, 9), (0, 4, 13)
43, (7, 9), (0, 4, 13)
44, (7, 9), (0, 4, 13)
45, (7, 9), (0, 4, 13)
46, (7, 9), (0, 4, 13)
47, (7, 9), (0, 4, 13)
48, (7, 8), (2, 4, 13)
49, (7, 8), (2, 4, 13)
50, (7, 8), (2, 4, 13)
51, (7, 8), (2, 4, 13)
52, (7, 8), (2, 4, 13)
53, (7, 8), (2, 4, 13)
54, (7, 8), (2, 4, 13)
55, (7, 8), (2, 4, 13)
56, (7, 9), (0, 4, 13)
57, (7, 9), (0, 4, 13)
58, (7, 9), (0, 4, 13)
59, (7, 9), (0, 4, 13)
60, (7, 9), (0, 4, 13)
61, (7, 9), (0, 4, 13)
62, (7, 9), (0, 4, 13)
63, (7, 9), (0, 4, 13)
68, (6, 10), (2, 9, 13)
69, (6, 10), (2, 9, 13)
70, (6, 10), (2, 9, 13)
71, (6, 10), (2, 9, 13)
72, (6, 9), (10, 11, 13)
73, (6, 9), (10, 11, 13)
84, (6, 10), (2, 9, 13)
85, (6, 10), (2, 9, 13)
86, (6, 10), (2, 9, 13)
87, (6, 10), (2, 9, 13)
88, (6, 9), (10, 11, 13)
89, (6, 9), (10, 11, 13)
100, (6, 10), (2, 9, 13)
101, (6, 10), (2, 9, 13)
102, (6, 10), (2, 9, 13)
103, (6, 10), (2, 9, 13)
104, (7, 9), (0, 4, 13)
105, (7, 9), (0, 4, 13)
106, (7, 9), (0, 4, 13)
107, (7, 9), (0, 4, 13)
108, (7, 9), (0, 4, 13)
109, (7, 9), (0, 4, 13)
110, (7, 9), (0, 4, 13)
111, (7, 9), (0, 4, 13)
112, (7, 8), (2, 4, 13)
113, (7, 8), (2, 4, 13)
114, (7, 8), (2, 4, 13)
115, (7, 8), (2, 4, 13)
116, (7, 8), (2, 4, 13)
117, (7, 8), (2, 4, 13)
118, (7, 8), (2, 4, 13)
119, (7, 8), (2, 4, 13)
