Result 1 B2:
Index, Spine, Page
6, (7, 8), (6, 10)
7, (7, 8), (6, 10)
10, (6, 8), (7, 10)
11, (6, 8), (7, 10)
12, (6, 7), (8, 10)
13, (6, 7), (8, 10)
18, (5, 8), (2, 10)
19, (5, 8), (2, 10)
22, (5, 8), (2, 10)
23, (5, 8), (2, 10)
26, (5, 8), (2, 10)
27, (5, 8), (2, 10)
28, (6, 7), (8, 10)
29, (6, 7), (8, 10)
30, (5, 8), (2, 10)
31, (5, 8), (2, 10)
36, (4, 7), (1, 10)
37, (4, 7), (1, 10)
38, (4, 7), (1, 10)
39, (4, 7), (1, 10)
42, (6, 8), (7, 10)
43, (6, 8), (7, 10)
44, (4, 7), (1, 10)
45, (4, 7), (1, 10)
46, (4, 7), (1, 10)
47, (4, 7), (1, 10)
48, (4, 5), (3, 10)
49, (4, 5), (3, 10)
50, (5, 8), (2, 10)
51, (5, 8), (2, 10)
52, (4, 7), (1, 10)
53, (4, 7), (1, 10)
54, (4, 7), (1, 10)
55, (4, 7), (1, 10)
56, (4, 5), (3, 10)
57, (4, 5), (3, 10)
58, (5, 8), (2, 10)
59, (5, 8), (2, 10)
60, (4, 7), (1, 10)
61, (4, 7), (1, 10)
62, (4, 7), (1, 10)
63, (4, 7), (1, 10)
70, (7, 8), (6, 10)
71, (7, 8), (6, 10)
72, (3, 6), (0, 10)
73, (3, 6), (0, 10)
74, (3, 6), (0, 10)
75, (3, 6), (0, 10)
76, (3, 6), (0, 10)
77, (3, 6), (0, 10)
78, (3, 6), (0, 10)
79, (3, 6), (0, 10)
80, (3, 5), (4, 10)
81, (3, 5), (4, 10)
82, (5, 8), (2, 10)
83, (5, 8), (2, 10)
84, (3, 5), (4, 10)
85, (3, 5), (4, 10)
86, (5, 8), (2, 10)
87, (5, 8), (2, 10)
88, (3, 6), (0, 10)
89, (3, 6), (0, 10)
90, (3, 6), (0, 10)
91, (3, 6), (0, 10)
92, (3, 6), (0, 10)
93, (3, 6), (0, 10)
94, (3, 6), (0, 10)
95, (3, 6), (0, 10)
96, (3, 4), (5, 10)
97, (3, 4), (5, 10)
98, (3, 4), (5, 10)
99, (3, 4), (5, 10)
100, (4, 7), (1, 10)
101, (4, 7), (1, 10)
102, (4, 7), (1, 10)
103, (4, 7), (1, 10)
104, (3, 6), (0, 10)
105, (3, 6), (0, 10)
106, (3, 6), (0, 10)
107, (3, 6), (0, 10)
108, (3, 6), (0, 10)
109, (3, 6), (0, 10)
110, (3, 6), (0, 10)
111, (3, 6), (0, 10)
114, (5, 8), (2, 10)
115, (5, 8), (2, 10)
116, (4, 7), (1, 10)
117, (4, 7), (1, 10)
118, (4, 7), (1, 10)
119, (4, 7), (1, 10)
120, (3, 6), (0, 10)
121, (3, 6), (0, 10)
122, (3, 6), (0, 10)
123, (3, 6), (0, 10)
124, (3, 6), (0, 10)
125, (3, 6), (0, 10)
126, (3, 6), (0, 10)
127, (3, 6), (0, 10)
130, (2, 8), (5, 10)
131, (2, 8), (5, 10)
134, (2, 8), (5, 10)
135, (2, 8), (5, 10)
138, (2, 8), (5, 10)
139, (2, 8), (5, 10)
140, (6, 7), (8, 10)
141, (6, 7), (8, 10)
142, (2, 8), (5, 10)
143, (2, 8), (5, 10)
144, (2, 5), (8, 10)
145, (2, 5), (8, 10)
148, (2, 5), (8, 10)
149, (2, 5), (8, 10)
150, (7, 8), (6, 10)
151, (7, 8), (6, 10)
152, (2, 5), (8, 10)
153, (2, 5), (8, 10)
154, (6, 8), (7, 10)
155, (6, 8), (7, 10)
156, (2, 5), (8, 10)
157, (2, 5), (8, 10)
162, (2, 8), (5, 10)
163, (2, 8), (5, 10)
164, (4, 7), (1, 10)
165, (4, 7), (1, 10)
166, (4, 7), (1, 10)
167, (4, 7), (1, 10)
170, (2, 8), (5, 10)
171, (2, 8), (5, 10)
172, (4, 7), (1, 10)
173, (4, 7), (1, 10)
174, (4, 7), (1, 10)
175, (4, 7), (1, 10)
176, (4, 5), (3, 10)
177, (4, 5), (3, 10)
178, (4, 5), (3, 10)
179, (4, 5), (3, 10)
180, (4, 7), (1, 10)
181, (4, 7), (1, 10)
182, (4, 7), (1, 10)
183, (4, 7), (1, 10)
184, (4, 5), (3, 10)
185, (4, 5), (3, 10)
186, (4, 5), (3, 10)
187, (4, 5), (3, 10)
188, (4, 7), (1, 10)
189, (4, 7), (1, 10)
190, (4, 7), (1, 10)
191, (4, 7), (1, 10)
194, (2, 8), (5, 10)
195, (2, 8), (5, 10)
198, (2, 8), (5, 10)
199, (2, 8), (5, 10)
200, (3, 6), (0, 10)
201, (3, 6), (0, 10)
202, (3, 6), (0, 10)
203, (3, 6), (0, 10)
204, (3, 6), (0, 10)
205, (3, 6), (0, 10)
206, (3, 6), (0, 10)
207, (3, 6), (0, 10)
208, (3, 5), (4, 10)
209, (3, 5), (4, 10)
210, (3, 5), (4, 10)
211, (3, 5), (4, 10)
212, (3, 5), (4, 10)
213, (3, 5), (4, 10)
214, (3, 5), (4, 10)
